step,time,dt,kinetic_energy,max_div_mac,max_div_nodal,area_pos,interface_ymin,interface_ymax,mac_iters,visc_iters,nodal_iters,umax,yc,vc,circularity,pmax_minus_pmin
1430,1.33556,0.00093396,19.3661,1.32816e-11,0.162356,0.195733,0.574157,0.966156,11,3,8,0.419318,0.74803,0.226645,0.931863,1805.28
1440,1.3449,0.00093396,19.4163,2.49445e-11,0.173942,0.19572,0.576614,0.96804,11,3,8,0.421055,0.750154,0.226161,0.931128,1805.32
1450,1.35424,0.00093396,19.4647,1.95244e-11,0.185079,0.195708,0.579099,0.969942,11,3,8,0.422741,0.752273,0.225676,0.930246,1805.36
1460,1.36358,0.00093396,19.5113,2.28728e-11,0.205962,0.195701,0.581561,0.971858,11,3,8,0.424495,0.754385,0.225191,0.929282,1805.4
1470,1.37292,0.00093396,19.5562,2.1394e-11,0.219071,0.195695,0.583968,0.973773,11,3,8,0.426159,0.756494,0.224705,0.928058,1805.44
1480,1.38226,0.00093396,19.5996,1.18749e-11,0.213246,0.195686,0.586326,0.975662,11,3,7,0.427726,0.758601,0.22422,0.926976,1805.47
1490,1.3916,0.00093396,19.6416,8.28337e-12,0.186386,0.195671,0.588713,0.977512,11,3,7,0.429546,0.760704,0.223732,0.926045,1805.51
1500,1.40094,0.00093396,19.682,4.00679e-11,0.154367,0.195656,0.591145,0.979372,10,3,7,0.431374,0.762801,0.223243,0.925341,1805.54
1510,1.41028,0.00093396,19.7207,7.02216e-12,0.14325,0.195646,0.593551,0.981253,12,3,7,0.43313,0.764892,0.222754,0.924569,1805.56
1520,1.41962,0.00093396,19.7579,3.13438e-11,0.154277,0.195639,0.595921,0.983151,11,3,8,0.434797,0.766975,0.222265,0.923751,1805.57
1530,1.42896,0.00093396,19.7937,8.59313e-12,0.177897,0.195631,0.59827,0.985059,12,3,8,0.43636,0.769056,0.221776,0.92279,1805.57
1540,1.4383,0.00093396,19.8281,2.61258e-11,0.191292,0.195622,0.600629,0.986957,13,3,8,0.437807,0.771137,0.221288,0.921843,1805.57
1550,1.44764,0.00093396,19.861,1.05604e-11,0.198402,0.195611,0.603028,0.988819,13,3,8,0.439327,0.773213,0.2208,0.921033,1805.58
1560,1.45698,0.00093396,19.8926,2.50604e-11,0.21412,0.1956,0.605421,0.990658,11,3,8,0.441031,0.775279,0.220314,0.920351,1805.6
1570,1.46632,0.00093396,19.9227,2.81166e-11,0.224391,0.195589,0.607786,0.992514,11,3,8,0.442631,0.777341,0.219833,0.919672,1805.61
1580,1.47566,0.00093396,19.9515,1.28135e-11,0.220382,0.195576,0.610111,0.99439,11,3,8,0.444122,0.779401,0.219357,0.91883,1805.62
1590,1.485,0.00093396,19.9791,1.12477e-11,0.195504,0.195561,0.612403,0.996281,12,3,8,0.445712,0.781459,0.218882,0.917922,1805.63
1600,1.49434,0.00093396,20.0054,3.57545e-11,0.168714,0.195546,0.614749,0.998175,11,3,8,0.447235,0.783515,0.218405,0.917045,1805.64
1610,1.50368,0.00093396,20.0303,1.96145e-11,0.178729,0.195537,0.617098,1.00005,11,3,8,0.448648,0.785564,0.217926,0.916429,1805.65
1620,1.51302,0.00093396,20.0537,1.43985e-11,0.193085,0.19553,0.619411,1.00189,11,3,8,0.449937,0.787604,0.217447,0.915835,1805.64
1630,1.52236,0.00093396,20.0759,1.65503e-11,0.225269,0.195521,0.621691,1.00372,11,3,8,0.451155,0.789638,0.216969,0.915255,1805.63
1640,1.53169,0.00093396,20.097,1.33586e-11,0.236145,0.19551,0.623957,1.00557,11,3,8,0.452689,0.791669,0.216491,0.914603,1805.62
1650,1.54103,0.00093396,20.1168,1.58917e-11,0.222505,0.195496,0.626249,1.00744,11,3,8,0.454124,0.793699,0.216015,0.913791,1805.61
1660,1.55037,0.00093396,20.1354,1.1291e-11,0.185429,0.195483,0.628576,1.00932,11,3,8,0.455463,0.795726,0.215542,0.912906,1805.59
1670,1.55971,0.00093396,20.1528,1.31415e-11,0.159994,0.195474,0.630883,1.0112,11,3,8,0.456787,0.797748,0.215072,0.9122,1805.57
1680,1.56905,0.00093396,20.1689,1.32028e-11,0.168444,0.195467,0.633157,1.01306,11,3,8,0.458173,0.799766,0.214605,0.911756,1805.54
1690,1.57839,0.00093396,20.184,1.48503e-11,0.185423,0.195459,0.635406,1.01488,11,3,8,0.45946,0.801775,0.214138,0.911374,1805.51
1700,1.58773,0.00093396,20.1982,2.2955e-11,0.199216,0.195448,0.637655,1.0167,11,3,8,0.460631,0.80378,0.21367,0.910924,1805.47
1710,1.59707,0.00093396,20.2113,1.64992e-11,0.200861,0.195435,0.639938,1.01854,11,3,8,0.461803,0.805782,0.213206,0.910263,1805.43
